timestamp,level,logger,message,module,function,line,exception,extra
2026-03-12T11:59:17.554182,INFO,services.log_service,Starting ingestion: E:\Project Quorum\backend\data\uploads\test_logs_1000.log,log_service,ingest_file,69,,
2026-03-12T11:59:17.554182,INFO,parsers.parser_factory,Auto-detecting parser for: E:\Project Quorum\backend\data\uploads\test_logs_1000.log,parser_factory,create_parser,57,,
2026-03-12T11:59:17.586649,INFO,parsers.parser_factory,Detected format: PlainTextParser,parser_factory,create_parser,63,,
2026-03-12T11:59:48.994466,INFO,core.database,Inserted 1000 records into logs,database,insert_batch,396,,
2026-03-12T11:59:48.995463,INFO,services.log_service,Ingestion complete: 1000 entries in 31.44s,log_service,ingest_file,119,,
2026-03-12T11:59:49.628425,INFO,parsers.parser_factory,Auto-detecting parser for: E:\Project Quorum\backend\data\uploads\test_logs_1000.log,parser_factory,create_parser,57,,
2026-03-12T11:59:49.629431,INFO,parsers.parser_factory,Detected format: PlainTextParser,parser_factory,create_parser,63,,
2026-03-12T12:00:33.246440,INFO,services.analysis_service,Starting analysis session 4fcb92cd-e54a-4cce-9346-0ac0a7e85113 | algorithm=auto,analysis_service,analyze_logs,57,,
2026-03-12T12:00:33.310306,INFO,core.database,Inserted 1 records into analysis_sessions,database,insert_batch,396,,
2026-03-12T12:00:33.340751,INFO,services.analysis_service,"Loaded 1,100 logs for analysis (requested=auto, resolved=ensemble)",analysis_service,analyze_logs,83,,
2026-03-12T12:00:33.345738,INFO,ai_engine.feature_extractor,Extracting features from 1100 logs,feature_extractor,extract_batch,66,,
2026-03-12T12:00:33.394608,INFO,ai_engine.feature_extractor,Extracted 20 features,feature_extractor,extract_batch,168,,
2026-03-12T12:00:33.394608,INFO,services.analysis_service,Feature extraction time: 0.049 sec,analysis_service,analyze_logs,125,,
2026-03-12T12:00:33.395606,INFO,ai_engine.ensemble,Running anomaly detection: ensemble,ensemble,detect,93,,
2026-03-12T12:00:33.395606,INFO,ai_engine.ensemble,Running full hybrid ensemble detection,ensemble,_hybrid_ensemble_detect,148,,
2026-03-12T12:00:33.433529,INFO,ai_engine.statistical_detector,Model loaded from E:\Project Quorum\backend\data\models\statistical.pkl,statistical_detector,load,157,,
2026-03-12T12:00:33.433529,INFO,ai_engine.ensemble,Statistical Detector time: 0.037 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T12:00:33.467445,INFO,ai_engine.one_class_svm,Model loaded from E:\Project Quorum\backend\data\models\one_class_svm.pkl,one_class_svm,load,164,,
2026-03-12T12:00:33.578457,INFO,ai_engine.isolation_forest,Model loaded from E:\Project Quorum\backend\data\models\isolation_forest.pkl,isolation_forest,load,159,,
2026-03-12T12:00:33.590424,INFO,ai_engine.ensemble,Isolation Forest time: 0.194 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T12:00:33.667853,INFO,ai_engine.ensemble,SVM time: 0.272 sec,ensemble,_hybrid_ensemble_detect,185,,
2026-03-12T12:00:33.718833,INFO,ai_engine.ensemble,Keyword Engine time: 0.049 sec,ensemble,_hybrid_ensemble_detect,197,,
2026-03-12T12:00:33.718833,INFO,ai_engine.ensemble,Ensemble complete: 505 anomalies detected,ensemble,_hybrid_ensemble_detect,207,,
2026-03-12T12:00:33.719830,INFO,services.analysis_service,Detection time: 0.324 sec,analysis_service,analyze_logs,137,,
2026-03-12T12:00:33.807280,INFO,services.analysis_service,Detected 505 anomalies above threshold 0.65,analysis_service,analyze_logs,155,,
2026-03-12T12:00:48.559836,INFO,core.database,Inserted 505 records into anomalies,database,insert_batch,396,,
2026-03-12T12:01:08.478716,INFO,services.report_service,Auto-generating reports for session 4fcb92cd-e54a-4cce-9346-0ac0a7e85113,report_service,generate_session_reports,38,,
2026-03-12T12:01:08.478716,INFO,services.report_service,Generating CSV report for session: 4fcb92cd-e54a-4cce-9346-0ac0a7e85113,report_service,generate_csv_report,57,,
2026-03-12T12:01:08.495672,INFO,services.report_service,CSV report: E:\Project Quorum\backend\reports_output\4fcb92cd-e54a-4cce-9346-0ac0a7e85113\anomaly_report_20260312_173108.csv,report_service,generate_csv_report,101,,
2026-03-12T12:01:08.496668,INFO,services.report_service,Generating PDF report for session: 4fcb92cd-e54a-4cce-9346-0ac0a7e85113,report_service,generate_pdf_report,115,,
2026-03-12T12:01:09.417888,INFO,services.report_service,PDF report: E:\Project Quorum\backend\reports_output\4fcb92cd-e54a-4cce-9346-0ac0a7e85113\threat_report_20260312_173108.pdf,report_service,generate_pdf_report,656,,
2026-03-12T12:01:09.418885,INFO,services.report_service,Session reports saved to E:\Project Quorum\backend\reports_output\4fcb92cd-e54a-4cce-9346-0ac0a7e85113,report_service,generate_session_reports,45,,
2026-03-12T12:01:09.418885,INFO,services.analysis_service,Auto-generated reports for session 4fcb92cd-e54a-4cce-9346-0ac0a7e85113,analysis_service,analyze_logs,190,,
2026-03-12T12:01:09.419883,INFO,services.analysis_service,Total pipeline time: 35.232 sec,analysis_service,analyze_logs,194,,
2026-03-12T12:01:09.618233,INFO,core.device_monitor,Starting full device scan...,device_monitor,scan_all,90,,
2026-03-12T12:01:10.144313,INFO,core.device_monitor,"Scan complete: 7 USB, 0 LAN (7 new, 0 risky)",device_monitor,scan_all,114,,
2026-03-12T12:01:10.147303,INFO,services.hub_service,Found 0 cross-node correlations,hub_service,get_cross_node_correlations,358,,
2026-03-12T12:05:49.411000,INFO,core.device_monitor,Starting full device scan...,device_monitor,scan_all,90,,
2026-03-12T12:05:50.071583,INFO,core.device_monitor,"Scan complete: 7 USB, 0 LAN (7 new, 0 risky)",device_monitor,scan_all,114,,
2026-03-12T12:05:50.109481,INFO,services.hub_service,Found 0 cross-node correlations,hub_service,get_cross_node_correlations,358,,
2026-03-12T12:08:54.201108,INFO,core.device_monitor,Starting full device scan...,device_monitor,scan_all,90,,
2026-03-12T12:08:55.304927,INFO,core.device_monitor,"Scan complete: 7 USB, 0 LAN (7 new, 0 risky)",device_monitor,scan_all,114,,
2026-03-12T12:08:55.460537,INFO,services.hub_service,Found 0 cross-node correlations,hub_service,get_cross_node_correlations,358,,
2026-03-12T12:10:03.726168,INFO,api.main,Shutting down API,main,lifespan,60,,
2026-03-12T12:10:05.080338,INFO,core.device_monitor,USB hotplug monitor stopped,device_monitor,stop_hotplug_monitor,211,,
2026-03-12T12:10:05.080338,INFO,services.monitoring_service,Monitoring service stopped,monitoring_service,stop,88,,
2026-03-12T12:10:05.624869,INFO,core.database,Database connection closed,database,close,427,,
